年月,購屋貸款_金額,購屋貸款_利率,資本支出貸款_金額,資本支出貸款_利率,週轉金貸款_金額,週轉金貸款_利率,消費性貸款_金額,消費性貸款_利率,合計_金額,合計_加權平均利率,不含國庫借款之加權平均利率,不含國庫借款之加權平均利率_1
2011-01,61447,1.76,54988,1.918,592667,1.335,3616,2.519,712718,1.422,1.52,
2011-02,30532,1.78,31284,2.017,382867,1.347,2385,2.465,447068,1.429,1.468,
2011-03,62585,1.767,48778,1.937,528627,1.406,5449,2.501,645439,1.49,1.507,
2011-04,51142,1.785,35389,2.075,428497,1.491,11471,2.262,526499,1.577,1.577,
2011-05,51666,1.826,42648,1.97,550041,1.385,8637,2.216,652992,1.47,1.494,
2011-06,49013,1.827,54411,1.965,552523,1.451,4424,2.903,660371,1.529,1.549,
2011-07,55283,1.867,49297,2.043,474909,1.525,3776,2.988,583265,1.611,1.621,
2011-08,48511,1.883,65790,2.588,537653,1.506,4434,2.743,656388,1.65,1.65,
2011-09,48775,1.878,59937,2.046,543996,1.518,4309,2.829,657017,1.602,1.608,
2011-10,44027,1.889,38502,2.088,509827,1.533,4032,2.847,596388,1.605,1.606,
2011-11,44714,1.888,40913,2.067,598702,1.433,11303,2.217,695632,1.511,1.526,
2011-12,48190,1.881,63248,1.971,691485,1.456,9076,2.353,811999,1.531,1.644,
2012-01,32884,1.888,37928,2.184,661259,1.435,3266,2.897,735337,1.501,1.631,
2012-02,33454,1.899,51689,1.776,485983,1.473,2654,3.188,573780,1.534,1.611,
2012-03,48419,1.894,49744,2.1,597484,1.513,3420,2.995,699067,1.588,1.637,
2012-04,51559,1.881,35085,2.171,561237,1.519,8450,2.198,656331,1.591,1.709,
2012-05,55391,1.888,39570,2.179,457000,1.628,7087,2.331,559048,1.701,1.716,
2012-06,51387,1.879,53128,2.191,489117,1.604,3284,2.955,596916,1.686,1.691,
2012-07,55726,1.892,39801,2.192,548242,1.516,3138,3.087,646907,1.596,1.705,
2012-08,45778,1.903,38879,2.183,466597,1.725,3297,3.078,554551,1.779,1.779,
2012-09,37377,1.897,32736,2.109,562230,1.51,5552,2.45,637895,1.572,1.65,
2012-10,40143,1.896,37175,2.317,501343,1.648,3679,2.998,582340,1.717,1.717,
2012-11,41781,1.905,40083,2.114,491808,1.62,10334,2.78,584006,1.694,1.696,
2012-12,45423,1.912,64258,2.03,762841,1.438,9092,2.739,881614,1.519,1.599,
2013-01,45315,1.947,42572,2.138,557227,1.533,3595,3.137,648709,1.611,1.723,
2013-02,25708,1.969,29586,2.245,393702,1.6,2661,2.92,451657,1.672,1.717,
2013-03,39640,1.948,43878,2.17,587285,1.514,4291,2.857,675094,1.591,1.681,
2013-04,41377,1.946,45483,2.272,446752,1.67,8916,2.724,542528,1.759,1.797,
2013-05,45622,1.98,42570,2.258,419362,1.728,8646,2.711,516200,1.81,1.84,
