季別,本國銀行_存款,本國銀行_放款,外商銀行_存款,外商銀行_放款,信用合作社_存款,信用合作社_放款,農漁會信用部_存款,農漁會信用部_放款,信託投資公司_存款,信託投資公司_放款,信託投資公司,本國銀行_利差,外商銀行_利差,信用合作社_利差,農漁會信用部_利差,信託投資公司_利差
1982Q1,9.57,14.37,,,9.81,15.46,9.55,15.45,14.5,16.0,,4.799999999999999,,5.65,5.899999999999999,1.5
1982Q2,9.41,13.62,,,9.44,14.63,9.06,14.49,13.73,15.34,,4.209999999999999,,5.190000000000001,5.43,1.6099999999999994
1982Q3,9.07,12.99,1.78,8.18,8.79,13.52,8.25,13.01,13.24,14.67,,3.92,6.3999999999999995,4.73,4.76,1.4299999999999997
1982Q4,8.58,12.29,2.53,11.28,8.28,12.52,7.76,12.06,12.57,13.67,,3.709999999999999,8.75,4.24,4.300000000000001,1.0999999999999996
1983Q1,8.13,11.51,1.35,10.31,7.56,12.01,7.17,11.38,11.66,12.97,,3.379999999999999,8.96,4.45,4.210000000000001,1.3100000000000005
1983Q2,7.63,10.51,0.62,9.8,7.3,11.13,6.82,10.93,10.94,12.04,,2.88,9.180000000000001,3.830000000000001,4.109999999999999,1.0999999999999996
1983Q3,7.33,10.43,0.87,9.86,7.04,10.95,6.62,10.73,10.37,11.81,,3.0999999999999996,8.99,3.9099999999999993,4.11,1.4400000000000013
1983Q4,7.1,10.39,2.2,9.75,6.86,10.83,6.53,10.79,9.93,11.51,,3.290000000000001,7.55,3.9699999999999998,4.259999999999999,1.58
1984Q1,7.02,10.26,2.45,9.86,6.78,10.77,6.69,10.74,9.59,11.37,,3.24,7.409999999999999,3.9899999999999993,4.05,1.7799999999999994
1984Q2,6.68,10.16,2.83,9.64,6.67,10.67,6.55,10.63,9.29,11.1,,3.4800000000000004,6.8100000000000005,4.0,4.080000000000001,1.8100000000000005
1984Q3,6.53,9.93,2.85,9.4,6.59,10.5,6.52,10.52,9.14,10.99,,3.3999999999999995,6.550000000000001,3.91,4.0,1.8499999999999996
1984Q4,6.46,9.91,3.02,9.29,6.54,10.5,6.47,10.52,8.9,10.8,,3.45,6.27,3.96,4.05,1.9000000000000004
1985Q1,6.45,9.73,2.97,9.41,6.47,10.26,6.46,10.48,8.49,10.18,,3.2800000000000002,6.4399999999999995,3.79,4.0200000000000005,1.6899999999999995
1985Q2,6.45,9.62,2.87,9.2,6.36,10.48,6.32,10.46,8.42,10.66,,3.169999999999999,6.329999999999999,4.12,4.140000000000001,2.24
